Season,Episode Reward,Mean Reward (last 100),Epsilon,Beta,Clip Loss,Value Loss,Entropy,Total Loss
0,59,59.0,0.06993,0.009980000000000001,0.0002398518313254629,0.124041086435318,3.1572768688201904,0.09222846967833383
1,46,52.5,0.06986007000000001,0.009960040000000002,0.013093990300382887,0.07834547837930066,3.1572768688201904,0.033741864269333226
2,52,52.333333333333336,0.06979020993000001,0.009940119920000002,0.033594217337667945,0.06499437357165984,3.1572768688201904,-4.6449686799730574e-05
3,42,49.75,0.06972041972007001,0.009920239680160002,0.02434183383094413,0.040482684477631536,3.1572768688201904,-0.01524285753922803
4,54,50.6,0.06965069930034994,0.009900399200799681,0.02995384396719081,0.040199127939662765,3.1572768688201904,-0.021075657489044327
5,48,50.166666666666664,0.06958104860104959,0.009880598402398083,0.039648815217827045,0.03678314970540149,3.1572768688201904,-0.034123968705534934
6,56,51.0,0.06951146755244854,0.009860837205593286,0.053640585712024146,0.040770480376003046,3.1572768688201904,-0.0440658913659198
7,49,50.75,0.06944195608489609,0.0098411155311821,0.037879926498447146,0.041792650680456844,3.1572768688201904,-0.027220669016242028
8,49,50.55555555555556,0.0693725141288112,0.009821433300119736,0.04160030762265835,0.043355546978169256,3.1572768688201904,-0.029315886247370925
9,43,49.8,0.06930314161468239,0.009801790433519496,0.04213597018803869,0.0471800923147904,3.1572768688201904,-0.025964863837829658
10,56,50.36363636363637,0.0692338384730677,0.009782186852652457,0.03729000167389001,0.04278323725531144,3.1572768688201904,-0.0254537289163896
11,49,50.25,0.06916460463459463,0.009762622478947153,0.02348484035049166,0.04290545117775244,3.1572768688201904,-0.011464459981237138
12,43,49.69230769230769,0.06909544002996004,0.00974309723398926,0.02359152143555028,0.04455543800390192,3.1572768688201904,-0.009859385288187436
13,47,49.5,0.06902634458993008,0.00972361103952128,0.047178892618311305,0.04032822279924793,3.1572768688201904,-0.0376123260440571
14,58,50.06666666666667,0.06895731824534015,0.009704163817442237,0.04964748711458274,0.050125816557556394,3.1572768688201904,-0.03022180303399052
15,47,49.875,0.06888836092709481,0.009684755489807352,0.024168495594390802,0.038933460494237286,3.1572768688201904,-0.01587376975055252
16,52,50.0,0.06881947256616772,0.009665385978827738,0.022855138406157494,0.04296167621921216,3.1572768688201904,-0.010470917102481637
17,61,50.611111111111114,0.06875065309360155,0.009646055206870082,0.040142456694905244,0.04120200877077877,3.1572768688201904,-0.02945674577994006
18,55,50.8421052631579,0.06868190244050795,0.009626763096456343,0.04487165845930576,0.041156038375837464,3.1572768688201904,-0.034170886581497535
19,56,51.1,0.06861322053806744,0.00960750957026343,0.02662646770477295,0.04510628223153097,3.1572768688201904,-0.01191454247704574
20,55,51.285714285714285,0.06854460731752937,0.009588294551122903,0.04108892575438534,0.041888182463922674,3.1572768688201904,-0.029534309836370603
21,64,51.86363636363637,0.06847606271021184,0.009569117962020658,0.036111103410699535,0.047334260154249415,3.1572768688201904,-0.019049744653914655
22,53,51.91304347826087,0.06840758664750163,0.009549979726096617,0.034444995650223326,0.039901527356622474,3.1572768688201904,-0.024755823213074887
23,58,52.166666666666664,0.06833917906085413,0.009530879766644424,0.034795447651829035,0.04013566549734345,3.1572768688201904,-0.024811714594917638
24,62,52.56,0.06827083988179328,0.009511818007111135,0.03768266149397407,0.04074218096211553,3.1572768688201904,-0.027032106316515377
25,58,52.76923076923077,0.06820256904191148,0.009492794371096912,0.017363054651234833,0.03920527566889567,3.1572768688201904,-0.00818922163120338
